"","sound","amusement","anger","disgust","effort","fear","joy","pain","pleasure","sadness","no_reps","shown","rated","skipped","num.em","real.em","context","call","duration","sex","emotion","correct"
"241","ut_sex_58-f-mmm.mp3",3.91176470588235,0,0.970588235294118,9.17647058823529,0.5,2.47058823529412,3.08823529411765,39.0882352941176,0.558823529411765,1.76470588235294,34,28,6,1.32142857142857,"pleasure","sex","moan",0.681,"OTHER","pleasure",TRUE
"242","ut_sex_60-m-grunt-sigh.mp3",0,0,3.25714285714286,41.7142857142857,0,0,1.94285714285714,10.9428571428571,0.8,1.34285714285714,35,32,3,1.15625,"pleasure","sex","grunt",1.659,"AM","effort",FALSE
"243","ut_sex_62-m-low-moan.mp3",0.470588235294118,0.323529411764706,1.44117647058824,23.2352941176471,0.441176470588235,0,10.0294117647059,22.3235294117647,5.91176470588235,1.58823529411765,34,32,2,1.4375,"pleasure","sex","moan",1.015,"AM","effort",FALSE
"244","ut_sex_63-m-moans.mp3",0.516129032258065,0,0,8.12903225806452,0,0,0,73.4193548387097,0,1.09677419354839,31,31,0,1.16129032258065,"pleasure","sex","moan",5.822,"AM","pleasure",TRUE
"245","ut_sex_64-m-grunt-sigh.mp3",4.51515151515152,0.545454545454545,10.1818181818182,30.6060606060606,0,0,3.36363636363636,29.1515151515152,0.363636363636364,1.24242424242424,33,32,1,1.53125,"pleasure","sex","grunt",1.963,"AM","effort",FALSE
"246","ut_sex_68-m-moans.mp3",2.96875,0,0,25.1875,2.46875,4.78125,2.3125,69.34375,0,1.125,32,31,1,1.54838709677419,"pleasure","sex","moan",9.517,"AM","pleasure",TRUE
"247","ut_sex_70-m-moan-groan.mp3",2.83333333333333,0,0,9.19444444444444,0,0,7.38888888888889,38.2777777777778,13.6944444444444,1.27777777777778,36,33,3,1.21212121212121,"pleasure","sex","moan",2.208,"AM","pleasure",TRUE
"248","ut_sex_72-m-moans.mp3",3.03125,0,4.0625,11.90625,3.71875,6.5,7.1875,67.71875,1.15625,1.15625,32,32,0,1.46875,"pleasure","sex","moan",8.196,"AM","pleasure",TRUE
"249","ut_sportfan_01-achievement-m-roar.mp3",3.03571428571429,29.7142857142857,0,5.35714285714286,46.0357142857143,4.71428571428571,25.8571428571429,0,0,1.35714285714286,28,28,0,1.82142857142857,"joy","score","roar",1.73,"AM","fear",FALSE
"250","ut_sportfan_03-achievement-m-roar.mp3",9.16666666666667,5.66666666666667,0,0,31.0333333333333,27.8666666666667,8.86666666666667,18.2,3.33333333333333,1.26666666666667,30,28,2,1.64285714285714,"joy","score","roar",3.538,"AM","fear",FALSE
"251","ut_sportfan_05-m-achievement-relief.mp3",3.1219512195122,2.17073170731707,0,17.390243902439,1.5609756097561,5.34146341463415,29.8780487804878,4.02439024390244,2,1.46341463414634,41,36,5,1.41666666666667,"joy","score","tone",0.912,"AM","pain",FALSE
"252","ut_sportfan_07-m-achievement-roar.mp3",0,43.3478260869565,0,5.43478260869565,23.5652173913043,0,31.304347826087,0,6.17391304347826,1.1304347826087,23,21,2,1.66666666666667,"joy","score","roar",1.091,"AM","anger",FALSE
"253","ut_sportfan_09-m-achievement-roar.mp3",0,22.9655172413793,3.44827586206897,7.82758620689655,35.9310344827586,0,48.9310344827586,0,5.62068965517241,1.03448275862069,29,28,1,1.75,"joy","score","roar",2.225,"AM","pain",FALSE
"254","ut_sportfan_11-f-achievement-scream-laugh.mp3",11.1,16.9666666666667,1.4,0,46.1666666666667,18.5666666666667,9.26666666666667,5.9,0.833333333333333,1.36666666666667,30,30,0,1.66666666666667,"joy","score","scream",1.877,"OTHER","fear",FALSE
"255","ut_sportfan_13-m-achievement-roar-noisy.mp3",2.48275862068966,33.2068965517241,0,7.24137931034483,24.2758620689655,8.89655172413793,18.6551724137931,1.93103448275862,1.48275862068966,1.51724137931034,29,28,1,1.75,"joy","score","scream",1.354,"AM","anger",FALSE
"256","ut_sportfan_17-m-achievement-whimper-laugh.mp3",26.1724137931034,0.482758620689655,4.44827586206897,0,3.89655172413793,32.0689655172414,2.31034482758621,3.55172413793103,21.448275862069,1.31034482758621,29,29,0,1.51724137931034,"joy","score","whimper",2.019,"AM","joy",TRUE
"257","ut_sportfan_22-m-achievement-scream-noisy.mp3",4.05263157894737,4.18421052631579,1.68421052631579,1.02631578947368,69.9736842105263,4.31578947368421,1.84210526315789,0,0,1.28947368421053,38,37,1,1.24324324324324,"joy","score","scream",2.186,"AM","fear",FALSE
"258","ut_sportfan_27-m-achievement-roar.mp3",0,28.3333333333333,3.03030303030303,6.06060606060606,40.0606060606061,0,24.1212121212121,0,8.3030303030303,1.12121212121212,33,31,2,1.67741935483871,"joy","score","roar",1.585,"AM","fear",FALSE
"259","ut_sportfan_29-c-achievement-scream.mp3",0.393939393939394,4.39393939393939,1.09090909090909,0,70.9393939393939,1.84848484848485,9.3030303030303,2.54545454545455,0,1.12121212121212,33,33,0,1.21212121212121,"joy","score","scream",0.571,"OTHER","fear",FALSE
"260","ut_sportfan_32-f-achievement-scream.mp3",3.73333333333333,3.33333333333333,0.566666666666667,0.866666666666667,55.2,7.56666666666667,5.36666666666667,0.3,0,1.16666666666667,30,30,0,1.2,"joy","score","scream",0.807,"OTHER","fear",FALSE
